index,strategy,sharpe_annual,sharpe_daily,n_obs,skew,kurtosis,deflated_sharpe,survives_at_95pct
Cboe UK 100,Bollinger Bands,0.2415,0.015211,2529,-0.871,18.2429,0.0143,False
Cboe UK 100,MACD,-0.2672,-0.016832,2529,-0.6605,14.732,0.0001,False
Cboe UK 100,Momentum,-0.3822,-0.024075,2529,-0.553,12.8187,0.0,False
Cboe UK 100,RSI,0.2076,0.013078,2529,-1.0158,23.7498,0.0109,False
Cboe UK 100,SMA crossover,-0.5409,-0.034074,2529,-0.3325,10.9411,0.0,False
Cboe Volatility Index,Bollinger Bands,0.5483,0.034541,2517,6.036,92.0611,0.0872,False
Cboe Volatility Index,MACD,-0.3638,-0.02292,2517,1.6963,17.1757,0.0,False
Cboe Volatility Index,Momentum,-0.6541,-0.041207,2517,1.772,18.5022,0.0,False
Cboe Volatility Index,RSI,0.1463,0.009216,2517,6.3088,172.5584,0.0051,False
Cboe Volatility Index,SMA crossover,-0.5314,-0.033476,2517,1.8458,22.8078,0.0,False
Dow Jones Industrial Average,Bollinger Bands,0.4395,0.027683,2517,-1.0822,41.3635,0.0613,False
Dow Jones Industrial Average,MACD,0.5531,0.034843,2517,-0.1038,26.6713,0.1137,False
Dow Jones Industrial Average,Momentum,0.1762,0.011098,2517,-1.1739,16.8401,0.0084,False
Dow Jones Industrial Average,RSI,0.4718,0.029719,2517,-1.1253,47.7452,0.075,False
Dow Jones Industrial Average,SMA crossover,0.2974,0.018733,2517,-1.1984,13.9878,0.0228,False
FTSE 100,Bollinger Bands,0.2137,0.01346,2525,-1.0804,23.3852,0.0115,False
FTSE 100,MACD,-0.1959,-0.01234,2525,-0.629,14.4759,0.0002,False
FTSE 100,Momentum,-0.2644,-0.016655,2525,-0.613,12.3507,0.0001,False
FTSE 100,RSI,0.2321,0.014622,2525,-1.2748,30.5856,0.0136,False
FTSE 100,SMA crossover,-0.4963,-0.031264,2525,-0.5264,11.1055,0.0,False
NASDAQ Composite,Bollinger Bands,0.4325,0.027243,2517,-0.7508,19.5384,0.0575,False
NASDAQ Composite,MACD,0.4704,0.029632,2517,-0.4039,14.9016,0.0715,False
NASDAQ Composite,Momentum,0.5705,0.035939,2517,-0.7419,9.6852,0.1267,False
NASDAQ Composite,RSI,0.3096,0.019506,2517,-0.811,31.2047,0.0247,False
NASDAQ Composite,SMA crossover,0.3601,0.022684,2517,-1.058,10.1278,0.0358,False
Russell 2000,Bollinger Bands,0.4474,0.028185,2517,-1.5426,29.061,0.0654,False
Russell 2000,MACD,0.1833,0.011546,2517,-0.1368,16.9828,0.0087,False
Russell 2000,Momentum,-0.1563,-0.009846,2517,-0.3117,11.4287,0.0003,False
Russell 2000,RSI,0.1281,0.00807,2517,-1.6322,35.9893,0.0056,False
Russell 2000,SMA crossover,0.1533,0.009657,2517,-0.3744,8.7934,0.0067,False
S&P 500,Bollinger Bands,0.5475,0.034491,2517,-0.963,30.668,0.1138,False
S&P 500,MACD,0.2998,0.018883,2517,-0.0042,21.8985,0.0221,False
S&P 500,Momentum,0.2721,0.017142,2517,-0.8153,13.8104,0.0185,False
S&P 500,RSI,0.3391,0.021362,2517,-0.9891,42.0963,0.031,False
S&P 500,SMA crossover,0.3137,0.01976,2517,-1.0841,11.1154,0.0257,False
