index,model,accuracy,balanced_accuracy,train_rows,test_rows,n_features
S&P 500,Logistic Regression,0.5152317880794702,0.5060654008438819,1712,755,16
S&P 500,Random Forest,0.5205298013245033,0.49771448663853723,1712,755,16
S&P 500,Feed-forward neural network,0.5006622516556292,0.48857243319268634,1712,755,16
Dow Jones Industrial Average,Logistic Regression,0.495364238410596,0.49205985915492956,1712,755,16
Dow Jones Industrial Average,Random Forest,0.5218543046357615,0.49535211267605633,1712,755,16
Dow Jones Industrial Average,Feed-forward neural network,0.5509933774834437,0.5385387323943662,1712,755,16
NASDAQ Composite,Logistic Regression,0.495364238410596,0.5115450358817879,1712,755,16
NASDAQ Composite,Random Forest,0.5337748344370861,0.4983966208961971,1712,755,16
NASDAQ Composite,Feed-forward neural network,0.4821192052980132,0.4749463185850709,1712,755,16
Russell 2000,Logistic Regression,0.5231788079470199,0.5132595714787496,1712,755,16
Russell 2000,Random Forest,0.5231788079470199,0.512118018967334,1712,755,16
Russell 2000,Feed-forward neural network,0.5178807947019868,0.5097119775201967,1712,755,16
FTSE 100,Logistic Regression,0.4847682119205298,0.4857320099255583,1720,755,16
FTSE 100,Random Forest,0.519205298013245,0.5018116963681479,1720,755,16
FTSE 100,Feed-forward neural network,0.5033112582781457,0.4818900857207309,1720,755,16
Cboe UK 100,Logistic Regression,0.5079365079365079,0.5101303068516183,1723,756,16
Cboe UK 100,Random Forest,0.5396825396825397,0.5329970575872216,1723,756,16
Cboe UK 100,Feed-forward neural network,0.49206349206349204,0.4838167297183691,1723,756,16
Cboe Volatility Index,Logistic Regression,0.5814569536423841,0.5259857014426987,1712,755,16
Cboe Volatility Index,Random Forest,0.5708609271523178,0.5141736946501705,1712,755,16
Cboe Volatility Index,Feed-forward neural network,0.5642384105960265,0.5221470667979509,1712,755,16
