index,strategy,gross_return,net_return,ann_vol,Sharpe,max_drawdown,n_trades,vs_buy_and_hold
S&P 500,Logistic Regression,0.18994077409824595,0.188751428096261,0.2556530588811895,0.22573893474158035,-0.3392496000265326,1,-0.0026884082254323705
S&P 500,Random Forest,0.1815399462566123,0.1803589968834547,0.25570175137313983,0.21644781245245165,-0.3392496000265325,1,-0.011080839438238677
S&P 500,Feed-forward neural network,0.1815399462566123,0.1803589968834547,0.25570175137313983,0.21644781245245165,-0.3392496000265325,1,-0.011080839438238677
Dow Jones Industrial Average,Logistic Regression,0.16015152793532583,0.15899195628984408,0.25287759434418416,0.19475305933566014,-0.3708617136959428,1,-0.0050801309669170625
Dow Jones Industrial Average,Random Forest,0.1507509796813764,0.14960080388544084,0.25293720427053396,0.1839711042954847,-0.370861713695943,1,-0.01447128337132031
Dow Jones Industrial Average,Feed-forward neural network,0.1507509796813764,0.14960080388544084,0.25293720427053396,0.1839711042954847,-0.370861713695943,1,-0.01447128337132031
NASDAQ Composite,Logistic Regression,0.1615516622447204,0.16039069116476323,0.2962442303294321,0.16760245398988105,-0.3639527990912007,1,-0.007396828608431161
NASDAQ Composite,Random Forest,0.15242745131440216,0.1512755998847901,0.29629616564829386,0.15868933946986813,-0.3639527990912006,1,-0.01651191988840428
NASDAQ Composite,Feed-forward neural network,0.1615516622447204,0.16039069116476323,0.2962442303294321,0.16760245398988105,-0.3639527990912007,1,-0.007396828608431161
Russell 2000,Logistic Regression,0.06257859667644139,0.06151654919201133,0.32295554258133,0.06169854724546514,-0.41561373968499804,1,0.0029119407700437527
Russell 2000,Random Forest,0.06344867761631767,0.0623857604858431,0.32323530920160914,0.06249033842396571,-0.418749492632414,1,0.003781152063875526
Russell 2000,Feed-forward neural network,0.06344867761631767,0.0623857604858431,0.32323530920160914,0.06249033842396571,-0.418749492632414,1,0.003781152063875526
FTSE 100,Logistic Regression,-0.012045765123379848,-0.013033225545756921,0.20878939519121836,-0.02097213686069658,-0.349295098272438,1,-0.009095525686850015
FTSE 100,Random Forest,-0.012045765123379848,-0.013033225545756921,0.20878939519121836,-0.02097213686069658,-0.349295098272438,1,-0.009095525686850015
FTSE 100,Feed-forward neural network,-0.012045765123379848,-0.013033225545756921,0.20878939519121836,-0.02097213686069658,-0.349295098272438,1,-0.009095525686850015
Cboe UK 100,Logistic Regression,-0.00731080823634811,-0.008303001248922692,0.20607508827458546,-0.013486448446569507,-0.35267513370855674,1,0.002369184835533833
Cboe UK 100,Random Forest,-0.012454752426117377,-0.013441804065617236,0.20610200395324457,-0.02188716051440714,-0.35267513370855685,1,-0.0027696179811607102
Cboe UK 100,Feed-forward neural network,-0.012454752426117377,-0.013441804065617236,0.20610200395324457,-0.02188716051440714,-0.35267513370855685,1,-0.0027696179811607102
Cboe Volatility Index,Logistic Regression,0.7193263893302355,0.7176079223176173,1.3079924694886536,0.1380357200403723,-0.8184786578097166,1,0.16172976923184046
Cboe Volatility Index,Random Forest,0.7070063549179411,0.7053002017817704,1.3055475466216413,0.1364556733274027,-0.8184786578097166,1,0.14942204869599363
Cboe Volatility Index,Feed-forward neural network,0.7193263893302355,0.7176079223176173,1.3079924694886536,0.1380357200403723,-0.8184786578097166,1,0.16172976923184046
